Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-07-26,253.616,265.964,249.816,265.964,6238.7287578312
2021-07-27,265.964,265.964,248.867,252.666,2496.1231665234
2021-07-28,254.566,255.516,245.067,252.666,890.64538122262
2021-07-29,252.666,260.265,252.666,258.365,367.41753906229
2021-07-30,261.215,261.215,252.666,259.315,545.33606084316
2021-08-02,261.215,261.215,247.917,253.616,408.47565947326
2021-08-03,253.616,254.566,251.716,254.566,358.99536051645
2021-08-04,253.616,256.466,253.616,255.516,200.02674046371
2021-08-05,253.616,253.616,246.967,246.967,849.58726081165
2021-08-06,246.967,249.816,246.967,247.917,355.83704356176
2021-08-09,248.867,248.867,242.218,244.118,880.11765804032
2021-08-10,242.218,245.067,242.218,245.067,414.79229338264
2021-08-11,245.067,245.067,240.318,241.267,646.40220339325
2021-08-12,242.218,242.218,235.569,238.418,742.20448435218
2021-08-13,239.368,246.967,238.418,240.318,596.92190443644
2021-08-16,246.017,247.917,242.218,243.167,326.35941865131
2021-08-17,245.067,247.917,242.218,247.917,194.76287887256
2021-08-18,246.967,247.917,245.067,246.967,128.43822282407
2021-08-19,245.067,246.017,238.418,240.318,627.45230166511
2021-08-20,240.318,248.867,239.368,243.167,1080.144398504
2021-08-23,246.967,246.967,238.418,239.368,563.23319025307
2021-08-24,238.418,245.067,237.469,245.067,509.54180202334
2021-08-25,245.067,245.067,243.167,244.118,85.274557776634
2021-08-26,244.118,245.067,244.118,244.118,215.81832523716
2021-08-27,244.118,245.067,240.318,242.218,61.060794457343
2021-08-30,245.067,255.516,239.368,255.516,1433.8758974293
2021-08-31,255.516,255.516,248.867,251.716,317.93724010547
2021-09-01,246.967,246.967,233.669,235.569,5119.6317835527
2021-09-02,235.569,238.418,226.069,228.92,4438.4880936579
2021-09-03,228.92,229.869,221.32,225.12,5094.3652479152
2021-09-06,226.069,228.92,225.12,227.02,2040.2727527298
2021-09-07,227.969,227.969,223.22,224.17,1803.3989811281
2021-09-08,224.17,224.17,213.722,213.722,20544.851790259
2021-09-09,213.722,224.17,213.722,221.32,896.962015132
2021-09-10,221.32,223.22,218.471,220.371,313.72615083255
2021-09-13,219.42,224.17,219.42,221.32,473.74754320352
2021-09-14,225.12,226.069,222.271,223.22,570.60259648068
2021-09-15,225.12,226.069,223.22,225.12,425.32001656494
2021-09-16,224.17,232.719,224.17,231.769,1031.7168718654
2021-09-17,229.869,235.569,228.92,228.92,1590.7389728456
2021-09-20,228.92,228.92,218.471,225.12,1474.9340178403
2021-09-21,226.069,226.069,220.371,220.371,191.60456191787
2021-09-22,223.22,223.22,220.371,220.371,643.24388643856
2021-09-23,223.22,225.12,220.371,225.12,358.99536051645
2021-09-24,225.12,225.12,223.22,223.22,162.12693700743
2021-09-27,225.12,230.82,219.42,223.22,1112.7803403692
2021-09-28,223.22,225.12,219.42,225.12,645.34943107502
2021-09-29,225.12,229.869,223.22,227.02,17102.286309647
2021-09-30,229.869,229.869,220.371,220.371,1042.2445950477
2021-10-01,222.271,222.271,219.42,219.42,573.76091343537
2021-10-04,222.271,228.92,220.371,225.12,914.85914454191
2021-10-05,224.17,226.069,223.22,226.069,17160.18878715
2021-10-06,227.02,227.969,222.271,224.17,434.79496742901
2021-10-07,224.17,226.069,219.42,223.22,772.73488158085
2021-10-08,224.17,225.12,215.622,223.22,1241.2185631932
2021-10-11,224.17,228.92,223.22,228.92,677.98537294015
2021-10-12,227.02,228.92,223.22,228.92,643.24388643856
2021-10-13,228.92,232.719,228.92,232.719,1952.8926503167
